Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature
5,28,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.408219315320736
5,28,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.946031135457545
5,28,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.07321547487743
5,28,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.451195147142613
5,28,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.448413909423337
5,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9411280722349
5,29,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.399814871489497
5,29,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.925052119408917
5,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55003601939996
5,29,5,0.0,5.911855086676468,82.05768948850108,43.23274087412845,5.911855086676468,12.015291638163639,5.911855086676468,21.155464322266923,5.911855086676468,21.155464322266923,17.35182091223559
5,29,6,0.0,36.070799824695285,428.5831072056168,172.5570926101828,36.070799824695285,111.03350323251775,36.070799824695285,129.0786914731312,36.070799824695285,129.0786914731312,16.875377916369416
5,29,7,0.0,69.85843865724873,701.1173452485637,189.31963315620553,69.85843865724873,296.8674025099891,69.85843865724873,249.98713347243728,69.85843865724873,249.98713347243728,17.637953726956454
5,29,8,0.0,105.97467807101495,804.6909071374071,128.7307961213246,100.7869151081062,504.4781787484991,105.97467807101495,363.44421496194457,105.97467807101495,363.44421496194457,19.328807033137267
5,29,9,0.0,219.21923448841073,768.2918281618705,126.29812387142749,126.29812387142749,687.5191719380191,219.21923448841073,548.7853839799243,219.21923448841073,548.7853839799243,21.780431615578195
5,29,10,0.0,328.39217831743366,623.9320935873693,138.2600221625192,138.2600221625192,808.6814447725997,328.39217831743366,835.4961916499699,328.39217831743366,835.4961916499699,25.130434379253902
5,29,11,0.0,409.7464333050782,442.3316882524695,147.0082629201949,147.0082629201949,908.7002012716891,409.7464333050782,1134.2522229782599,409.7464333050782,1134.2522229782599,29.166145305039265
5,29,12,0.0,445.3771711538283,223.44673454548013,147.92034101040025,151.87919360250024,952.9070468108715,445.3771711538283,1283.0403307490685,445.3771711538283,1283.0403307490685,33.363732374961636
5,29,13,0.0,456.41079104398455,161.61623226789092,161.61623226789092,324.73924883821707,970.233262862049,456.41079104398455,1324.5112379077466,456.41079104398455,1324.5112379077466,37.2285426017675
5,29,14,0.0,369.6196272022627,146.68531738490162,146.68531738490162,488.7581387077149,824.2029479937548,369.6196272022627,1022.827357055902,369.6196272022627,1022.827357055902,40.118101609196614
5,29,15,0.0,247.2050905299474,160.3394031106955,160.3394031106955,461.14568060219733,557.4500060119132,247.2050905299474,748.9875918059944,247.2050905299474,748.9875918059944,41.41630453768485
5,29,16,0.0,196.28036330649527,168.64469710110174,168.64469710110174,567.0375882841928,531.611989528641,196.28036330649527,648.6058172041885,196.28036330649527,648.6058172041885,41.80684048336774
5,29,17,0.0,102.55993708664371,102.55993708664371,152.82871225613843,637.1216046227904,380.4688352737993,102.55993708664371,367.00884208415135,102.55993708664371,367.00884208415135,41.30098168331021
5,29,18,0.0,52.644175719807045,52.644175719807045,161.65106922011037,490.71962617613667,185.34581440199184,52.644175719807045,188.38621124619547,52.644175719807045,188.38621124619547,40.0793929572758
5,29,19,0.0,23.451170813243564,23.451170813243564,121.84386988408677,261.2900551282684,57.75000171224628,23.451170813243564,83.9195819554283,23.451170813243564,83.9195819554283,37.854964396604004
5,29,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80774994776285
5,29,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.865026565886083
5,29,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.36978379159084
5,29,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.107346989001257
5,29,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.050741303876944
5,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.198583534084843
5,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.492341132065484
5,30,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.967173889136212
5,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59586554707587
5,30,5,0.0,6.74632503402262,55.21419451313157,30.548233166712244,6.74632503402262,13.146647807026996,6.74632503402262,24.141599628403117,6.74632503402262,24.141599628403117,17.42276344207974
5,30,6,0.0,39.934361530062915,287.02941613245366,125.63755438895241,39.934361530062915,102.86923171067767,39.934361530062915,142.904375732373,39.934361530062915,142.904375732373,16.99337221696422
5,30,7,0.0,84.11687283831516,575.218650293529,176.50003809266104,84.11687283831516,279.62101105416156,84.11687283831516,301.01067704486957,84.11687283831516,301.01067704486957,17.87229913384063
5,30,8,0.0,127.36816888730385,714.9977063077616,146.9562179327042,123.134407665526,485.21942929969816,127.36816888730385,444.05215555569544,127.36816888730385,444.05215555569544,19.899540418581513
5,30,9,0.0,221.29636936863636,656.7787024588548,148.05611109734468,148.05611109734468,614.8485565237322,221.29636936863636,629.0059314314976,221.29636936863636,629.0059314314976,22.701121487108356
5,30,10,0.0,312.7848250885734,544.9498312620983,164.8072141853675,164.8072141853675,708.5946916999828,312.7848250885734,894.6948189633547,312.7848250885734,894.6948189633547,26.06650911913314
5,30,11,0.0,359.0468462146945,382.04643677823265,148.07697389783527,148.07697389783527,751.8196182088357,359.0468462146945,1056.6359432817144,359.0468462146945,1056.6359432817144,29.518607477794408
5,30,12,0.0,452.6880725112846,230.99353213716358,157.4426751825294,161.46032416438828,954.3390090276419,452.6880725112846,1325.689966993862,452.6880725112846,1325.689966993862,33.65748315820777
5,30,13,0.0,455.1614649795979,152.3868981199538,152.3868981199538,319.36077234106637,992.1943022345437,455.1614649795979,1289.9392589899178,455.1614649795979,1289.9392589899178,37.72376398955531
5,30,14,0.0,384.2766458451351,144.67792440018124,144.67792440018124,519.275023565051,890.2446424313296,384.2766458451351,1023.0826535118551,384.2766458451351,1023.0826535118551,40.838184567422076
5,30,15,0.0,289.1277487610657,148.27925614575025,148.27925614575025,635.2739575009311,718.2458962585766,289.1277487610657,772.143668912877,289.1277487610657,772.143668912877,42.50292195304506
5,30,16,0.0,171.69610252908114,143.57735607547414,143.57735607547414,497.3984902875716,460.35543350920045,171.69610252908114,554.0566020017721,171.69610252908114,554.0566020017721,42.62160092612919
5,30,17,0.0,102.86762036675992,102.86762036675992,129.47872086701528,369.5112413638824,280.9679806260557,102.86762036675992,368.10988102364206,102.86762036675992,368.10988102364206,41.49725987830918
5,30,18,0.0,66.37676912832183,66.37676912832183,153.20233048643,411.2799183820233,192.78411322097682,66.37676912832183,237.5280433186316,66.37676912832183,237.5280433186316,40.016111558350644
5,30,19,0.0,24.567554855586636,24.567554855586636,110.34651036398104,231.15708951760078,57.90541273736619,24.567554855586636,87.9145416476853,24.567554855586636,87.9145416476853,38.158011764777854
5,30,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.63515687304117
5,30,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.14998692813943
5,30,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.81536018818761
5,30,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75773311997418
5,30,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08246707962944
5,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.618216361616724
5,31,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.300266236970067
5,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.077335854193684
5,31,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.10543070532265
5,31,5,0.0,7.632748922975992,38.95688321961599,23.090715235745307,7.632748922975992,15.823488506151923,7.632748922975992,27.313651155752137,7.632748922975992,27.313651155752137,21.18411112612008
5,31,6,0.0,45.04564303436669,163.29208192477506,87.3192518039288,45.04564303436669,98.86791904997123,45.04564303436669,161.1950022649917,45.04564303436669,161.1950022649917,20.79929250146633
5,31,7,0.0,85.10556266112789,270.54171696944354,118.23933546357006,85.10556266112789,207.0558968470913,85.10556266112789,304.5486853291799,85.10556266112789,304.5486853291799,21.279343513615263
5,31,8,0.0,115.85394654771615,493.53199719100655,128.16606090562294,113.14618985057103,370.4012257444373,115.85394654771615,407.3747000681466,115.85394654771615,407.3747000681466,22.302402808847056
5,31,9,0.0,199.46385808055538,505.8321104928593,147.0789617834729,147.0789617834729,508.8652281045935,199.46385808055538,606.6639715501404,199.46385808055538,606.6639715501404,24.102628968730002
5,31,10,0.0,268.81854795589766,452.91182006912703,153.90707293639048,153.90707293639048,590.680508007946,268.81854795589766,798.4739363007637,268.81854795589766,798.4739363007637,26.45017463409478
5,31,11,0.0,335.4215660427926,352.3908536548644,217.01205215840852,217.01205215840852,663.4193188887557,335.4215660427926,1110.9073283196908,335.4215660427926,1110.9073283196908,29.59045127781986
5,31,12,0.0,375.3751404998129,246.16684128847157,205.5563116104058,208.07939419272094,733.1482988335265,375.3751404998129,1228.1456466204713,375.3751404998129,1228.1456466204713,33.0160522685921
5,31,13,0.0,421.1528730384929,204.73463478358175,204.73463478358175,325.38701268360086,841.8860416640794,421.1528730384929,1333.4968920550339,421.1528730384929,1333.4968920550339,36.59839333994615
5,31,14,0.0,318.75385706223545,169.83367685037229,169.83367685037229,398.9498412031305,655.1893183016778,318.75385706223545,983.474050119386,318.75385706223545,983.474050119386,38.97720607588582
5,31,15,0.0,231.1148396889239,157.50405797589434,157.50405797589434,417.82257451751343,513.6522577442196,231.1148396889239,715.5383741099038,231.1148396889239,715.5383741099038,39.312514294093155
5,31,16,0.0,165.78271570545485,144.80202571912406,144.80202571912406,410.6801040470533,414.5137334667015,165.78271570545485,551.4314821567034,165.78271570545485,551.4314821567034,38.91123652050547
