Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Rate,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Rate
10,23,13,0.0,391.1382355988892,148.17074460730822,148.17074460730822,227.44391971174792,406.33007599912173,391.1382355988892,1462.504321936503,391.1382355988892,1462.504321936503,25.88530966955237,0.0,182122.82503507685,0.0,50.58967362085467
10,23,14,0.0,453.10634183548655,130.50943458018264,130.50943458018264,347.6773025823751,417.25294946349015,453.10634183548655,1702.9367462516848,453.10634183548655,1702.9367462516848,26.999999992554915,0.0,3646612.159984522,0.0,1012.9478222179227
10,23,15,0.0,187.28907487943246,91.55962751620696,91.55962751620696,195.47191707124318,219.49526325527304,187.28907487943246,681.4113111681179,187.28907487943246,681.4113111681179,26.99999999999844,0.0,3303198.488445626,0.0,917.5551356793405
10,23,16,0.0,45.36884118577211,38.54634803962131,38.54634803962131,48.95802190077495,75.91537844508282,45.36884118577211,162.52996165673784,45.36884118577211,162.52996165673784,26.985183918420667,0.0,692813.1112843002,0.0,192.44808646786117
10,23,17,0.0,7.567771397809562,7.567771397809562,7.567771397809562,7.567771397809562,14.6875,7.567771397809562,27.17159117105032,7.567771397809562,27.17159117105032,25.752259744224297,0.0,0.0,0.0,0.0
10,23,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44836788553709,0.0,0.0,0.0,0.0
10,23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.378278201371728,0.0,0.0,0.0,0.0
10,23,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.061737515510412,447144.08356314886,0.0,124.20668987865247,0.0
10,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00000000102605,1486698.2337137756,0.0,412.97173158715987,0.0
10,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2054721.1296412768,0.0,570.7558693447991,0.0
10,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2406899.5535024134,0.0,668.5832093062259,0.0
10,23,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2678891.0012595067,0.0,744.1363892387518,0.0
10,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2816912.821822692,0.0,782.4757838396368,0.0
10,24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2853287.827673711,0.0,792.5799521315862,0.0
10,24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2870831.9337980784,0.0,797.4533149439108,0.0
10,24,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2901769.221159946,0.0,806.0470058777629,0.0
10,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3038399.1083607716,0.0,843.9997523224365,0.0
10,24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3374384.2773430566,0.0,937.3289659286269,0.0
10,24,7,0.0,3.660140713533538,3.660140713533538,3.660140713533538,3.660140713533538,7.125,3.660140713533538,13.141497261060945,3.660140713533538,13.141497261060945,20.0,3610106.0658731605,0.0,1002.8072405203225,0.0
10,24,8,0.0,58.937235171581236,78.85510043459126,32.12994940865999,32.12994940865999,71.04002008940061,58.937235171581236,206.1670155830318,58.937235171581236,206.1670155830318,20.0,3188156.5135745145,0.0,885.5990315484763,0.0
10,24,9,0.0,220.45079799982386,258.3545015617741,86.73807151718303,86.73807151718303,223.14911064118948,220.45079799982386,794.0174689670267,220.45079799982386,794.0174689670267,20.0,1047617.1531331266,0.0,291.00476475920186,0.0
10,24,10,0.0,212.0728232230977,171.8961281473152,84.2424562465859,84.2424562465859,224.6920110632123,212.0728232230977,791.1127616857868,212.0728232230977,791.1127616857868,20.189534845742507,222212.22566037753,0.0,61.72561823899376,0.0
10,24,11,0.0,711.1925715265903,346.39208880963406,130.82678609301243,130.82678609301243,581.1211641408739,711.1925715265903,2745.372101617826,711.1925715265903,2745.372101617826,24.690535771325145,0.0,593583.9635240871,0.0,164.88443431224644
10,24,12,0.0,864.4610968647527,165.45362429743273,120.53599841036622,138.49493902104354,691.2530378951116,864.4610968647527,3395.2035963685457,864.4610968647527,3395.2035963685457,26.999999588815975,0.0,10107618.78708537,0.0,2807.671885301492
10,24,13,0.0,825.8634742570313,111.62073283948011,111.62073283948011,331.4851956551074,663.149470091087,825.8634742570313,3245.8072483654405,825.8634742570313,3245.8072483654405,26.99999999784138,0.0,16609769.369605724,0.0,4613.824824890478
